site,visit,lat,long,date,num_sponges
1,1,30.554639,-91.821167,2019-05-25 00:00:00,0.0
2,1,30.726389,-91.968889,2019-05-25 00:00:00,2.0
3,1,30.546861,-91.967917,2019-05-25 00:00:00,0.0
4,1,30.730194,-92.119972,2019-05-25 00:00:00,0.0
5,1,30.790528,-92.270083,2019-05-25 00:00:00,2.0
5,2,30.790528,-92.270083,2023-06-23 00:00:00,8.0
6,1,30.495,-92.427778,2019-05-25 00:00:00,0.0
7,1,30.233889,-93.221111,2019-05-25 00:00:00,3.0
7,2,30.2338889,-93.221111,2024-05-17 00:00:00,0.0
8,1,30.715556,-93.384944,2019-05-25 00:00:00,0.0
9,1,30.745,-93.347778,2019-05-25 00:00:00,1.0
10,1,30.765,-93.124444,2019-05-25 00:00:00,2.0
11,1,30.818889,-93.229722,2019-05-25 00:00:00,0.0
12,1,31.043889,-93.276111,2019-05-25 00:00:00,3.0
13,1,31.158611,-93.354167,2019-05-25 00:00:00,0.0
14,1,31.093611,-93.388889,2019-05-25 00:00:00,0.0
14,2,31.093611,-93.388889,2023-06-23 00:00:00,8.0
15,1,31.096667,-93.389167,2019-05-25 00:00:00,7.0
15,2,31.096667,-93.389167,2021-05-17 00:00:00,0.0
15,3,31.096667,-93.389167,2023-06-23 00:00:00,3.0
16,1,31.177222,-93.351944,2019-05-25 00:00:00,0.0
16,2,31.177222,-93.351944,2023-10-20 00:00:00,2.0
17,1,31.956389,-93.046667,2019-05-25 00:00:00,5.0
17,2,31.956389,-93.046667,2021-05-18 00:00:00,0.0
17,3,31.956389,-93.046667,2023-10-21 00:00:00,16.0
18,1,32.011944,-93.267778,2019-05-25 00:00:00,0.0
18,2,32.011944,-93.267778,2023-06-24 00:00:00,7.0
18,3,32.011944,-93.267778,2023-10-21 00:00:00,10.0
19,1,31.862222,-93.3675,2019-05-25 00:00:00,0.0
20,1,32.14075,-93.593889,2019-05-25 00:00:00,5.0
20,2,32.14075,-93.593889,2021-05-18 00:00:00,23.0
20,3,32.14075,-93.593889,2023-06-24 00:00:00,18.0
21,1,32.32,93.67,2019-05-25 00:00:00,17.0
21,2,32.32,93.67,2021-08-05 00:00:00,13.0
21,3,32.32,93.67,2021-11-05 00:00:00,19.0
21,4,32.32,93.67,2023-06-24 00:00:00,12.0
21,5,32.32,93.67,2024-09-25 00:00:00,24.0
22,1,32.439167,-93.378333,2019-05-25 00:00:00,13.0
22,2,32.439167,-93.378333,2021-05-19 00:00:00,26.0
22,3,32.439167,-93.378333,2023-10-22 00:00:00,11.0
23,1,32.733056,-92.922222,2019-05-25 00:00:00,2.0
23,2,32.733056,-92.922222,2021-05-19 00:00:00,0.0
24,1,32.453611,-92.193056,2019-05-25 00:00:00,3.0
24,2,32.453611,-92.193056,2024-05-19 00:00:00,11.0
25,1,32.427222,-92.360833,2019-05-25 00:00:00,3.0
26,1,31.878611,-92.895833,2019-05-25 00:00:00,13.0
26,2,31.878611,-92.895833,2021-05-18 00:00:00,16.0
26,3,31.878611,-92.895833,2022-05-13 00:00:00,0.0
27,1,31.551972,-92.656417,2019-05-25 00:00:00,0.0
28,1,31.552222,-92.658056,2019-05-25 00:00:00,4.0
29,1,31.552222,-92.658056,2019-05-25 00:00:00,0.0
30,1,30.289472,-90.399972,2019-05-25 00:00:00,4.0
31,1,30.293306,-90.404167,2019-06-01 00:00:00,6.0
32,1,30.149444,-90.446722,2019-06-01 00:00:00,0.0
33,1,30.12675,-91.278472,2019-06-01 00:00:00,7.0
34,1,30.332528,-90.852472,2019-06-01 00:00:00,0.0
35,1,30.271944,-90.751222,2019-06-01 00:00:00,5.0
36,1,30.309722,-90.609417,2019-06-01 00:00:00,3.0
36,2,30.309722,-90.609417,"Friday, Febuary 7, 2025",0.0
37,1,30.374917,-90.549444,2019-06-01 00:00:00,1.0
38,1,30.265278,-89.956556,2019-06-01 00:00:00,2.0
39,1,30.317861,-89.933806,2019-06-01 00:00:00,2.0
40,1,30.218194,-89.823778,2019-06-01 00:00:00,0.0
41,1,30.031444,-90.074083,2019-06-01 00:00:00,3.0
42,1,30.028139,-90.097444,2019-06-01 00:00:00,4.0
43,1,30.02925,-90.120222,2019-06-01 00:00:00,4.0
45,1,31.120389,-92.022194,2019-06-01 00:00:00,2.0
46,1,31.120528,-92.011583,2019-06-01 00:00:00,9.0
47,1,31.002167,-92.382972,2019-06-01 00:00:00,0.0
47,2A,31.002167,-92.382972,2023-06-23 00:00:00,1.0
47,2B,31.002167,-92.382972,2023-06-23 00:00:00,9.0
48,1,31.106056,-92.483806,2019-06-01 00:00:00,1.0
49,1,29.957389,-93.436472,2019-06-01 00:00:00,0.0
50,1,29.993,-92.789444,2019-06-01 00:00:00,10.0
51,1,30.420667,-90.113528,2019-06-01 00:00:00,7.0
52,1,30.36275,-90.089333,2019-06-01 00:00:00,0.0
52,2,30.36275,-90.089333,2021-12-02 00:00:00,4.0
53,1,30.470889,-90.094722,2019-06-01 00:00:00,0.0
54,1,30.48025,-90.039917,2019-06-01 00:00:00,0.0
54,2,30.48025,-90.039917,2021-04-07 00:00:00,6.0
54,3,30.48025,-90.039917,2024-08-28 00:00:00,2.0
54,4,30.48025,-90.039917,2025-03-29 00:00:00,1.0
55,1,30.936639,-89.849639,2019-06-01 00:00:00,0.0
55,2,30.936639,-89.849639,2024-06-22 00:00:00,2.0
56,1,30.780389,-90.148639,2019-06-01 00:00:00,0.0
57,1,30.780389,-90.148639,2019-06-01 00:00:00,2.0
57,2,30.780389,-90.148639,2024-06-22 00:00:00,9.0
58,1,30.478639,-90.993583,2019-06-01 00:00:00,0.0
58,2,30.478639,-90.993583,2023-11-22 00:00:00,0.0
59,1,30.375444,-89.738889,2019-09-01 00:00:00,3.0
59,2,30.375444,-89.738889,2022-10-01 00:00:00,9.0
60,1,30.986194,-90.953444,2019-11-08 00:00:00,6.0
61,1,29.96525,-91.212083,2020-01-17 00:00:00,0.0
61,2,29.96525,-91.212083,2023-07-21 00:00:00,1.0
62,1,29.963806,-91.210694,2020-01-17 00:00:00,0.0
62,2,29.963806,-91.210694,2023-07-21 00:00:00,13.0
62,3,29.963806,-91.210694,2023-10-19 00:00:00,15.0
62,4,29.963806,-91.210694,2025-10-17 00:00:00,
63,1,29.900306,-91.185861,2020-01-17 00:00:00,0.0
64,1,29.721417,-91.189833,2020-01-17 00:00:00,10.0
65,1,29.691222,-91.215056,2020-01-17 00:00:00,0.0
66,1,29.661306,-91.244139,2020-01-17 00:00:00,5.0
67 (FR),1,30.693056,-91.433778,2020-01-24 00:00:00,16.0
68,1,30.42375,-91.16825,2020-01-28 00:00:00,0.0
69,1,30.458222,-91.187194,2020-01-30 00:00:00,19.0
69,2,30.458222,-91.187194,2020-10-20 00:00:00,0.0
69,3,30.458222,-91.187194,2021-03-01 00:00:00,25.0
69,4,30.458222,-91.187194,2021-06-16 00:00:00,0.0
69,5,30.458222,-91.187194,2021-10-05 00:00:00,0.0
69,6,30.458222,-91.187194,"Monday, Ocober 18, 2021",10.0
69,7,30.458222,-91.187194,2022-03-28 00:00:00,17.0
69,8,30.458222,-91.187194,2023-03-13 00:00:00,0.0
69,9,30.458222,-91.187194,2023-06-13 00:00:00,0.0
70,1,30.12675,-91.278472,2020-03-14 00:00:00,5.0
71,1,30.1065,-90.422444,2020-05-26 00:00:00,0.0
71,2,30.1065,-90.422444,"Friday, Febuary 7, 2025",0.0
72,1,30.312111,-91.788333,2020-05-26 00:00:00,0.0
72,2,30.312111,-91.788333,2021-12-01 00:00:00,0.0
73,1,30.207389,-92.0195,2020-05-26 00:00:00,2.0
73,2,30.207389,-92.0195,2021-12-01 00:00:00,2.0
74,1,30.210333,-92.001444,2020-05-26 00:00:00,2.0
74,2,30.210333,-92.001444,2021-12-01 00:00:00,0.0
75,1,30.216528,-91.99225,2020-05-26 00:00:00,0.0
76,1,30.203667,-91.901056,2020-05-26 00:00:00,8.0
76,2,30.203667,-91.901056,2024-12-22 00:00:00,5.0
77,1,30.121861,-91.827306,2020-05-26 00:00:00,
78,1,30.044611,-91.862722,2020-05-26 00:00:00,0.0
79,1,31.01025,-91.647028,2020-07-01 00:00:00,5.0
80,1,31.634444,-91.544444,2020-07-01 00:00:00,3.0
81,1,30.061472,-91.608639,2020-07-14 00:00:00,14.0
82,1,29.971889,-91.970972,2020-07-14 00:00:00,6.0
83,1,29.987056,-90.091556,2020-09-30 00:00:00,12.0
83,2,29.987056,-90.091556,2020-11-18 00:00:00,0.0
83,3,29.987056,-90.091556,2021-04-05 00:00:00,18.0
83,4,29.987056,-90.091556,2021-06-10 00:00:00,18.0
83,5,29.987056,-90.091556,2021-10-06 00:00:00,3.0
83,6,29.987056,-90.091556,2023-07-20 00:00:00,11.0
83,7,29.987056,-90.091556,2024-06-19 00:00:00,12.0
84,1,30.00375,-90.096167,2020-09-30 00:00:00,11.0
84,2,30.00375,-90.096167,2020-11-18 00:00:00,15.0
84,3,30.00375,-90.096167,2021-06-10 00:00:00,18.0
85,1,30.409417,-90.140361,2020-10-17 00:00:00,1.0
86,1,29.98325,-90.090306,2020-10-30 00:00:00,16.0
86,2,29.98325,-90.090306,2023-07-20 00:00:00,17.0
86,3,29.98325,-90.090306,2024-06-19 00:00:00,3.0
86,4,29.98325,-90.090306,2024-12-16 00:00:00,5.0
86,5,29.98325,-90.090306,2026-01-09 00:00:00,
87,1,29.983556,-90.091361,2020-10-30 00:00:00,1.0
88,1,30.20725,-90.422694,2021-01-18 00:00:00,2.0
89,1,30.031528,-90.034083,2020-12-01 00:00:00,2.0
90,1,30.539806,-89.8745,2020-11-01 00:00:00,1.0
91,1,30.024417,-90.115639,2021-03-03 00:00:00,0.0
92,1,30.025472,-90.115639,2021-03-03 00:00:00,12.0
93,1,29.86675,-90.540948,2021-03-03 00:00:00,0.0
94,1,,,2021-03-03 00:00:00,0.0
95,1,30.4565,-89.784778,2021-04-07 00:00:00,6.0
95,2,30.4565,-89.784778,2022-02-11 00:00:00,1.0
95,3,30.4565,-89.784778,2024-03-16 00:00:00,5.0
96,1,30.496778,-89.814472,2021-04-07 00:00:00,6.0
96,2,30.496778,-89.814472,2021-05-04 00:00:00,11.0
96,3,30.496778,-89.814472,"Febuary 11, 2022",7.0
96B,1,30.4967778,-89.814472,2021-05-04 00:00:00,5.0
97,1,31.755556,-93.120278,2021-05-18 00:00:00,5.0
98,1,31.774444,-93.084722,2021-05-18 00:00:00,4.0
99,1,32.001389,-93.269722,2021-05-18 00:00:00,8.0
100,1,32.700833,-93.504444,2021-05-19 00:00:00,20.0
100,2,32.700833,-93.504444,2022-05-14 00:00:00,11.0
102,1,32.848611,-93.520278,2021-05-19 00:00:00,8.0
103,1,32.734106,-92.937222,2021-05-19 00:00:00,3.0
104,1,31.746111,-91.441667,2021-05-20 00:00:00,9.0
105,1,31.973333,-91.226111,2021-05-20 00:00:00,2.0
106,1,31.483056,-91.861111,2021-05-20 00:00:00,5.0
107,1,31.373333,-91.905278,2021-05-20 00:00:00,0.0
108,1,31.333889,-91.936389,2021-05-20 00:00:00,10.0
109,1,30.457889,-91.1815,2021-06-16 00:00:00,0.0
LSU 1,1,30.42375,-91.16825,2021-06-03 00:00:00,9.0
LSU 2,1,30.430639,-91.168444,2021-06-03 00:00:00,0.0
LSU 3,1,30.408861,-91.172917,2021-06-03 00:00:00,6.0
LSU 3,2,30.408861,-91.172917,2023-03-13 00:00:00,7.0
LSU 3,3,30.408861,-91.172917,2023-06-13 00:00:00,9.0
LSU 4,1,30.417722,-91.16975,2021-06-03 00:00:00,0.0
LSU 5,1,30.408433,-91.164272,2023-06-13 00:00:00,0.0
110,1,29.824072,-90.476001,2021-07-15 00:00:00,4.0
111,1,29.785,-90.407333,2021-07-15 00:00:00,8.0
112,1,29.737583,-90.647333,2021-07-15 00:00:00,19.0
113,1,29.646778,-90.540944,2021-07-15 00:00:00,6.0
114,1,29.86675,-90.599667,2021-07-15 00:00:00,12.0
115,1,30.534782,-91.087264,2021-10-08 00:00:00,0.0
116,1,30.534782,-91.087264,2021-10-08 00:00:00,0.0
116,2,30.534782,-91.087264,2025-07-08 00:00:00,0.0
117,1,32.27175,-93.512333,2021-11-05 00:00:00,9.0
118,1,32.336722,-93.741,2021-11-05 00:00:00,0.0
119,1,32.491972,-93.850389,2021-11-05 00:00:00,11.0
120,1,32.63575,-92.641889,2021-11-06 00:00:00,0.0
121,1,32.680722,-92.649861,2021-11-06 00:00:00,0.0
122,1,32.857472,-92.575611,2021-11-06 00:00:00,2.0
123,1,32.782611,-92.490806,2021-11-06 00:00:00,17.0
124,1,31.929917,-91.766944,2021-11-06 00:00:00,3.0
125,1,32.811833,-91.192222,2021-11-06 00:00:00,4.0
126,1,31.676028,-91.834778,2021-11-07 00:00:00,9.0
127,1,31.609556,-92.024806,2021-11-07 00:00:00,0.0
127,2,31.609556,-92.024806,2023-06-25 00:00:00,8.0
128,1,31.57288,-92.02325,2021-11-07 00:00:00,0.0
128,2,31.57288,-92.02325,2023-06-25 00:00:00,14.0
129,1,31.301139,-92.156917,2021-11-07 00:00:00,9.0
130,1,30.370969,-91.625428,2021-12-01 00:00:00,1.0
131,1,30.406669,-91.692189,2021-12-01 00:00:00,1.0
132,1,30.309056,-91.771444,2021-12-01 00:00:00,9.0
133,1,30.334833,-90.044333,2021-12-02 00:00:00,5.0
134,1,30.3789,-90.16097,2021-12-02 00:00:00,8.0
135,1,30.33764,-90.00415,2021-12-02 00:00:00,0.0
136,1,30.30161,-89.83143,2021-12-02 00:00:00,0.0
137,1,30.16561,-89.73742,2021-12-02 00:00:00,0.0
138,1,30.48899,-90.09474,2022-02-11 00:00:00,0.0
139,1,30.539806,-89.8745,2022-02-11 00:00:00,6.0
139,2,30.539806,-89.8745,2024-03-16 00:00:00,0.0
140,1,31.071876,-91.511232,2022-03-04 00:00:00,0.0
141,1,30.0215,-90.153139,2022-03-25 00:00:00,14.0
142,1,30.026528,-90.081972,2022-03-25 00:00:00,11.0
143,1,30.052833,-89.875611,2022-03-25 00:00:00,0.0
144,1,30.065278,-89.806528,2022-03-25 00:00:00,11.0
144,2,30.065278,-89.806528,2024-06-21 00:00:00,0.0
145,1,30.068944,-89.802556,2022-03-25 00:00:00,0.0
146,1,30.072083,-89.801528,2022-03-25 00:00:00,0.0
147,1,31.754989,-92.971278,2022-05-13 00:00:00,3.0
148,1,31.869,-92.892361,2022-05-13 00:00:00,11.0
149,1,31.924694,-92.879028,2022-05-13 00:00:00,13.0
150,1,31.914889,-92.87325,2022-05-13 00:00:00,12.0
151,1,31.997694,-92.896417,2022-05-13 00:00:00,6.0
152,1,31.884278,-92.953889,2022-05-13 00:00:00,8.0
153,1,31.859528,-92.959528,2022-05-13 00:00:00,4.0
153,2,31.859528,-92.959528,2023-10-21 00:00:00,18.0
154,1,32.306389,-93.650944,2022-05-13 00:00:00,0.0
155,1,32.325917,-93.718028,2022-05-14 00:00:00,0.0
156,1,32.354278,-93.692778,2022-05-14 00:00:00,11.0
157,1,32.355472,-93.766194,2022-05-14 00:00:00,6.0
158,1,32.700722,-93.943667,2022-05-14 00:00:00,12.0
159,1,32.884806,-93.89325,2022-05-14 00:00:00,1.0
160,1,32.651806,-93.667278,2022-05-14 00:00:00,7.0
161,1,32.583528,-92.070806,2022-05-15 00:00:00,17.0
162,1,32.702278,-92.016417,2022-05-15 00:00:00,11.0
163,1,32.558944,-91.759639,2022-05-15 00:00:00,0.0
164,1,32.292,-91.763639,2022-05-15 00:00:00,3.0
165,1,32.179083,-91.976639,2022-05-15 00:00:00,6.0
166,1,31.508861,-92.087361,2022-05-15 00:00:00,15.0
166,2,31.508861,-92.087361,2023-06-25 00:00:00,10.0
167,1,32.192333,-91.956889,2022-05-15 00:00:00,0.0
168,1,30.7895,-90.698806,2022-06-09 00:00:00,2.0
168,2,30.7895,-90.698806,2023-08-28 00:00:00,11.0
168,3,30.7895,-90.698806,2024-03-16 00:00:00,6.0
168,4,30.7895,-90.698806,2024-06-22 00:00:00,13.0
168,5,30.7895,-90.698806,2025-03-30 00:00:00,7.0
169,1,30.628417,-90.154333,2022-06-09 00:00:00,6.0
170,1,30.478083,-90.089056,2022-06-09 00:00:00,0.0
171,1,30.494194,-90.169833,2022-06-09 00:00:00,0.0
172,1,30.362912,-89.734103,2022-07-01 00:00:00,31.0
172,2,30.362912,-89.734103,2024-08-28 00:00:00,43.0
173,1,30.50577,-89.97616,2022-07-01 00:00:00,0.0
174,1,30.0149,-91.1551,2022-07-08 00:00:00,6.0
175,1,30.271797,-91.259906,2022-07-08 00:00:00,6.0
176,1,30.258915,-91.321945,2022-07-08 00:00:00,3.0
177,1,30.168431,-91.352437,2022-07-08 00:00:00,0.0
178,1,30.399978,-91.512002,2022-07-08 00:00:00,8.0
179,1,30.56916,-91.16608,2022-07-29 00:00:00,17.0
179,2,30.56916,-91.16608,2025-07-08 00:00:00,0.0
180,1,31.975278,-92.65325,2022-09-09 00:00:00,0.0
181,1,32.224194,-92.488917,2022-09-09 00:00:00,2.0
182,1,32.312417,-92.443667,2022-09-09 00:00:00,3.0
183,1,32.207389,-92.801389,2022-09-09 00:00:00,0.0
184,1,32.083701,-92.905636,2022-09-09 00:00:00,0.0
185,1,32.171768,-92.992766,2022-09-09 00:00:00,3.0
186,1,32.314417,-93.151306,2022-09-09 00:00:00,10.0
187,1,32.597632,-93.33323,2022-09-10 00:00:00,11.0
188,1,32.323082,-93.414986,2022-09-10 00:00:00,13.0
189,1,32.329196,-93.434937,2022-09-10 00:00:00,1.0
189,2,32.329196,-93.434937,2023-10-22 00:00:00,16.0
190,1,31.871432,-93.170282,2022-09-10 00:00:00,7.0
191,1,31.840561,-93.100778,2022-09-10 00:00:00,5.0
192,1,31.605352,-92.778331,2022-09-10 00:00:00,0.0
193,1,31.400444,-92.753806,2022-09-11 00:00:00,0.0
194,1,31.329416,-92.726726,2022-09-11 00:00:00,1.0
195,1,31.046802,-92.614794,2022-09-11 00:00:00,3.0
196,1,30.699067,-92.894712,2022-09-11 00:00:00,5.0
197,1,30.245102,-92.625211,2022-09-11 00:00:00,1.0
198,1,30.44529,-91.1916,2022-10-21 00:00:00,9.0
199,1,30.390027,-91.035069,2022-12-09 00:00:00,5.0
199,2,30.390027,-91.035069,2023-10-23 00:00:00,0.0
200,1,30.321326,-91.021369,2022-12-09 00:00:00,7.0
201,1,30.321079,-91.020778,2022-12-09 00:00:00,0.0
202,1,30.412584,-90.974875,2022-12-09 00:00:00,1.0
203,1,30.41213,-90.974913,2022-12-09 00:00:00,0.0
204,1,30.043209,-90.237832,2023-01-27 00:00:00,5.0
205,1,30.020378,-90.142554,2023-01-27 00:00:00,20.0
206,1,30.101507,-90.734887,2023-01-27 00:00:00,1.0
207,1,30.101043,-90.736848,2023-01-27 00:00:00,0.0
208,1,29.598918,-90.71075,2023-02-06 00:00:00,13.0
209,1,29.578356,-90.721383,2023-02-06 00:00:00,5.0
210,1,29.586099,-90.752934,2023-02-06 00:00:00,0.0
211,1,29.561021,-90.79158,2023-02-06 00:00:00,10.0
212,1,29.548087,-90.791296,2023-02-06 00:00:00,0.0
213,1,30.541194,-91.790381,2023-03-03 00:00:00,13.0
214,1,30.549742,-91.873155,2023-03-03 00:00:00,3.0
215,1,30.431875,-91.875422,2023-03-03 00:00:00,2.0
216,1,30.502602,-92.915337,2023-03-03 00:00:00,0.0
217,1,30.511762,-93.231339,2023-03-03 00:00:00,0.0
218,1,31.207049,-93.579213,2023-03-03 00:00:00,0.0
219,1,31.204311,-93.544768,2023-03-03 00:00:00,0.0
